Day 35,Day 39,Day 37,Day 38,Day 41,Day 36,Day 33,Day 34,Day 40,Day 32,Day 30,Day 28,Day 31,Day 27,Day 29,Day 26,Day 25,Day 24,Day 22,Day 23,Day 21,Day 20,Day 19,Day 18,Day 16,Day 17,Day 15,Day 14,Day 12,Day 13,Day 10,Day 11,Day 2,Day 4,Day 1,Day 3,Day 5,Day 6,Day 7,Day 9,Day 8
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c

0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.125,174.5,41.25,113.5,63.25,40.5,42.375,53.875,23.125,31.75,15.125,14.625,13.125,17.625,10.125,9.25,7.125,9.125,4.0,9.0,13.875,11.75,11.375,11.0,16.5,7.125,7.0,13.875,12.125,15.625,16.625
0.3201754385964912,0.07894736842105263,0.043859649122807015,0.039473684210526314,0.17105263157894737,0.13596491228070176,0.2719298245614035,0.41228070175438597,0.03508771929824561,0.38596491228070173,11.842105263157896,12.899122807017545,9.18859649122807,10.5,12.078947368421053,8.451754385964913,9.464912280701755,11.394736842105264,7.021929824561403,9.149122807017545,6.745614035087719,5.083333333333333,3.969298245614035,3.8728070175438596,5.109649122807017,3.789473684210526,4.157894736842105,3.706140350877193,3.0921052631578947,3.482456140350877,4.140350877192983,3.482456140350877,3.087719298245614,3.2982456140350878,4.3464912280701755,3.206140350877193,3.1140350877192984,2.557017543859649,2.6271929824561404,3.719298245614035,2.7982456140350878
0.4897959183673469,0.24489795918367346,1.2857142857142858,0.2857142857142857,0.1836734693877551,0.7142857142857143,0.9387755102040817,0.8163265306122449,0.20408163265306123,1.346938775510204,18.3265306122449,45.16326530612245,14.591836734693878,29.551020408163264,23.816326530612244,18.653061224489797,23.346938775510203,25.081632653061224,16.346938775510203,17.79591836734694,15.877551020408163,12.959183673469388,9.285714285714286,8.938775510204081,10.346938775510203,9.408163265306122,8.918367346938776,6.6938775510204085,7.959183673469388,6.551020408163265,7.510204081632653,7.489795918367347,8.346938775510203,9.224489795918368,10.551020408163266,7.387755102040816,7.326530612244898,8.040816326530612,8.26530612244898,7.244897959183674,7.918367346938775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,206.0,89.0,124.0,121.0,176.0,204.0,205.0,77.0,147.0,135.0,110.0,36.0,110.0,92.0,59.0,31.0,8.0,3.0,13.0,9.0,14.0,1.0,0.0,16.0,3.0,5.0,1.0,3.0,8.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,78.0,24.0,84.0,83.0,163.0,157.0,144.0,83.0,141.0,43.0,49.0,42.0,80.0,86.0,74.0,74.0,111.0,100.0,74.0,58.0,61.0,23.0,22.0,29.0,22.0,16.0,23.0,45.0,50.0,23.0
2.5,1.0,1.25,0.75,0.5,2.75,6.25,3.75,4.75,7.25,50.25,74.0,21.75,77.0,42.5,107.25,81.25,77.25,97.0,50.25,53.75,39.25,39.5,34.5,24.75,16.75,33.75,21.0,26.75,42.5,44.75,35.75,28.75,16.75,18.25,27.75,11.25,31.0,31.5,38.25,44.75
0.3828125,0.4609375,0.6640625,0.6640625,0.609375,0.7421875,0.765625,0.78125,0.5234375,0.578125,9.65625,10.90625,9.03125,12.3828125,9.4765625,14.6796875,12.28125,16.2890625,13.984375,17.265625,10.3828125,11.6171875,10.296875,8.46875,9.296875,9.2734375,6.8203125,7.5703125,6.3984375,7.890625,9.15625,7.453125,7.765625,7.4140625,10.21875,8.21875,6.109375,8.140625,7.5234375,7.734375,8.640625
2.8125,3.25,4.375,2.375,2.0,3.25,3.375,3.0625,1.25,2.125,14.625,32.75,15.125,32.4375,19.8125,36.0625,43.0625,48.25,32.0,31.3125,51.875,41.75,23.875,26.75,27.125,28.4375,19.0625,14.8125,15.8125,16.625,15.3125,14.25,7.75,10.5,10.125,9.0625,8.5625,12.125,12.75,16.0625,11.4375
11.0,7.0,1.0,8.0,10.0,7.0,15.0,30.0,39.0,29.0,43.0,47.0,28.0,11.0,53.0,64.0,119.0,189.0,165.0,222.0,231.0,95.0,155.0,136.0,77.0,106.0,38.0,51.0,28.0,32.0,9.0,28.0,5.0,2.0,1.0,0.0,2.0,11.0,1.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,116.0,47.0,7.0,12.0,20.0,101.0,376.0,96.0,95.0,81.0,57.0,57.0,58.0,63.0,84.0,107.0,10.0,51.0,22.0,24.0,15.0,23.0,26.0,37.0,42.0,48.0,156.0,59.0,15.0,35.0
2.0495049504950495,2.5247524752475248,3.4554455445544554,1.9603960396039604,3.0297029702970297,3.0594059405940595,2.4653465346534653,3.4158415841584158,2.5247524752475248,2.613861386138614,7.762376237623762,6.99009900990099,4.603960396039604,9.425742574257425,6.841584158415841,8.514851485148515,9.792079207920793,8.148514851485148,11.762376237623762,8.118811881188119,9.405940594059405,11.742574257425742,16.376237623762375,27.92079207920792,15.663366336633663,21.81188118811881,10.742574257425742,8.851485148514852,9.762376237623762,9.267326732673267,10.485148514851485,8.96039603960396,11.099009900990099,10.603960396039604,16.623762376237625,11.900990099009901,9.732673267326733,9.524752475247524,11.297029702970297,7.821782178217822,8.366336633663366
